"date","in_diesel_price"
2004-07-19,38.656
2004-08-12,38.656
2005-01-10,42.048
2005-02-12,42.048
2005-06-21,42.32
2005-08-18,48.72
2006-02-17,48.72
2006-03-03,48.72
2006-09-26,48.72
2006-10-31,48.72
2007-04-10,48.4
2007-08-05,49.216
2007-10-25,49.216
2007-10-25,49.216
2007-11-08,49.216
2007-12-06,49.216
2007-12-26,49.216
2008-05-14,50.88
2008-06-04,50.88
2008-06-09,55.68
2008-10-25,55.68
2008-11-01,55.68
2008-12-03,55.776
2008-12-26,52.576
2009-02-02,49.376
2009-03-03,49.376
2009-11-17,52.592
2010-01-08,52.592
2010-02-06,52.592
2010-02-17,52.592
2010-03-14,56.752
2010-04-22,60.816
2010-05-11,60.816
2010-07-06,64.16
2010-12-06,60.4
2010-12-18,60.4
2011-03-12,60.4
2011-05-07,60.4
2011-06-11,65.792
2011-07-10,65.456
2011-08-26,65.456
2011-10-10,65.456
2012-01-18,65.456
2012-01-26,65.456
2012-02-24,65.456
2012-03-26,65.456
2012-06-19,66.064
