"date","in_kerosene_price"
2004-07-19,14.432
2004-08-12,14.432
2005-01-10,14.432
2005-02-12,14.432
2005-06-21,14.432
2005-08-18,14.432
2006-02-17,14.48
2006-03-03,14.48
2006-09-26,14.544
2006-10-31,14.544
2007-04-10,14.544
2007-08-05,14.544
2007-10-25,14.544
2007-10-25,14.544
2007-11-08,14.544
2007-12-06,14.544
2007-12-26,14.544
2008-05-14,14.544
2008-06-04,14.544
2008-06-09,14.544
2008-10-25,14.544
2008-11-01,14.544
2008-12-03,14.544
2008-12-26,14.544
2009-02-02,14.544
2009-03-03,14.544
2009-11-17,14.544
2010-01-08,14.544
2010-02-06,14.544
2010-02-17,14.544
2010-03-14,14.544
2010-04-22,14.544
2010-05-11,14.544
2010-07-06,19.712
2010-12-06,19.712
2010-12-18,19.712
2011-03-12,19.712
2011-05-07,19.712
2011-06-11,23.728
2011-07-10,23.728
2011-08-26,23.728
2011-10-10,23.728
2012-01-18,23.728
2012-01-26,23.728
2012-02-24,23.728
2012-03-26,23.728
2012-06-19,23.728
