"date","in_petrol_price"
2004-07-19,58.896
2004-08-12,58.896
2005-01-10,60.56
2005-02-12,60.56
2005-06-21,64.784
2005-08-18,69.584
2006-02-17,69.584
2006-03-03,69.584
2006-09-26,74.96
2006-10-31,71.76
2007-04-10,68.56
2007-08-05,69.632
2007-10-25,69.632
2007-10-25,69.632
2007-11-08,69.632
2007-12-06,69.632
2007-12-26,69.632
2008-05-14,72.896
2008-06-04,72.896
2008-06-09,80.896
2008-10-25,80.992
2008-11-01,80.992
2008-12-03,80.992
2008-12-26,72.992
2009-02-02,64.992
2009-03-03,64.992
2009-11-17,71.552
2010-01-08,71.552
2010-02-06,71.552
2010-02-17,75.888
2010-03-14,75.888
2010-04-22,76.688
2010-05-11,76.688
2010-07-06,82.288
2010-12-06,84.656
2010-12-18,84.656
2011-03-12,93.392
2011-05-07,93.392
2011-06-11,93.392
2011-07-10,101.392
2011-08-26,101.92
2011-10-10,106.272
2012-01-18,105.024
2012-01-26,105.024
2012-02-24,105.024
2012-03-26,105.024
2012-06-19,108.448
