"date","np_diesel_price"
1996-04-04,13.5
1996-06-16,14
1996-07-11,14
1996-08-17,14
1997-04-15,14
1997-06-13,17.5
1997-06-25,15.5
1997-07-11,15.5
1998-07-17,16.5
1999-01-14,15.5
1999-10-27,23
2000-05-28,23
2000-10-14,27.5
2000-11-16,27.5
2001-01-17,26.5
2002-11-23,26.5
2003-03-25,35.5
2003-04-20,33.5
2003-05-08,31
2004-07-19,35
2004-08-12,31
2005-01-10,41
2005-02-12,41
2005-06-21,41
2005-08-18,46
2006-02-17,52.5
2006-03-03,53.15
2006-09-26,53.15
2006-10-31,53.15
2007-04-10,53.15
2007-08-05,53.15
2007-10-25,56.25
2007-10-25,56.25
2007-11-08,56.25
2007-12-06,56.25
2007-12-26,56.25
2008-05-14,56.25
2008-06-04,56.25
2008-06-09,70
2008-10-25,70
2008-11-01,65
2008-12-03,60.5
2008-12-26,59.5
2009-02-02,57.5
2009-03-03,55
2009-11-17,58
2010-01-08,58
2010-02-06,58
2010-02-17,59
2010-03-14,61
2010-04-22,63
2010-05-11,63
2010-07-06,65.5
2010-12-06,68.5
2010-12-18,68.5
2011-03-12,68.5
2011-05-07,68.5
2011-06-11,68.5
2011-07-10,73.5
2011-08-26,75
2011-10-10,76
2012-01-18,85
2012-01-26,81
2012-02-24,85
2012-03-26,89
2012-06-19,93
