"date","np_kerosene_price"
1996-04-04,9.5
1996-06-16,9.5
1996-07-11,9.5
1996-08-17,9.5
1997-04-15,9.5
1997-06-13,11
1997-06-25,10.5
1997-07-11,10.5
1998-07-17,10.5
1999-01-14,10.5
1999-10-27,13
2000-05-28,13
2000-10-14,26
2000-11-16,22
2001-01-17,17
2002-11-23,17
2003-03-25,28
2003-04-20,27
2003-05-08,24
2004-07-19,28
2004-08-12,24
2005-01-10,36
2005-02-12,34
2005-06-21,34
2005-08-18,39
2006-02-17,47.65
2006-03-03,47.65
2006-09-26,47.65
2006-10-31,47.65
2007-04-10,47.65
2007-08-05,47.65
2007-10-25,51.2
2007-10-25,51.2
2007-11-08,51.2
2007-12-06,51.2
2007-12-26,51.2
2008-05-14,51.2
2008-06-04,51.2
2008-06-09,65
2008-10-25,65
2008-11-01,65
2008-12-03,60.5
2008-12-26,59.5
2009-02-02,57.5
2009-03-03,55
2009-11-17,58
2010-01-08,58
2010-02-06,58
2010-02-17,59
2010-03-14,61
2010-04-22,63
2010-05-11,63
2010-07-06,65.5
2010-12-06,68.5
2010-12-18,68.5
2011-03-12,68.5
2011-05-07,68.5
2011-06-11,68.5
2011-07-10,73.5
2011-08-26,75
2011-10-10,76
2012-01-18,85
2012-01-26,81
2012-02-24,85
2012-03-26,89
2012-06-19,93
