"date","np_petrol_price"
1996-04-04,31
1996-06-16,34
1996-07-11,34
1996-08-17,34
1997-04-15,34
1997-06-13,39
1997-06-25,39
1997-07-11,39
1998-07-17,40
1999-01-14,40
1999-10-27,40
2000-05-28,40
2000-10-14,47
2000-11-16,47
2001-01-17,46
2002-11-23,52
2003-03-25,56
2003-04-20,56
2003-05-08,54
2004-07-19,56
2004-08-12,56
2005-01-10,62
2005-02-12,62
2005-06-21,62
2005-08-18,67
2006-02-17,67
2006-03-03,67.25
2006-09-26,67.25
2006-10-31,67.25
2007-04-10,67.25
2007-08-05,67.25
2007-10-25,73.5
2007-10-25,73.5
2007-11-08,73.5
2007-12-06,73.5
2007-12-26,80
2008-05-14,80
2008-06-04,80
2008-06-09,100
2008-10-25,95
2008-11-01,90
2008-12-03,85.5
2008-12-26,80.5
2009-02-02,77.5
2009-03-03,77.5
2009-11-17,77.5
2010-01-08,77.5
2010-02-06,77.5
2010-02-17,77.5
2010-03-14,80
2010-04-22,82
2010-05-11,82
2010-07-06,85
2010-12-06,88
2010-12-18,88
2011-03-12,97
2011-05-07,97
2011-06-11,102
2011-07-10,102
2011-08-26,102
2011-10-10,105
2012-01-18,115
2012-01-26,112
2012-02-24,116
2012-03-26,120
2012-06-19,120
